date,description,amount,category
2026-01-05,NETFLIX,15.99,subscriptions
2026-01-10,FITNESS HUT,45.00,health
2026-01-16,FATURA EDP,125.40,utilities
2026-01-17,FATURA MEO,65.00,utilities
2026-01-22,PINGO DOCE,98.50,groceries
2026-02-01,PAGAMENTO RENDA,1500.00,rent
2026-02-06,A PADARIA PORTUGUESA,10.50,food_drink
2026-02-12,GALP ENERGIA,65.00,transport
2026-02-16,FATURA EDP,110.20,utilities
2026-02-17,FATURA MEO,65.00,utilities
2026-02-24,CONTINENTE,105.80,groceries
2026-03-01,PAGAMENTO RENDA,1500.00,rent
2026-03-03,NETFLIX,15.99,subscriptions
2026-03-04,UBER,14.20,transport
